X.clade_name	clade_taxid	p1	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p2	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p3	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p4	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p5	p6	p7	p8	p9
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	 6183409	4391697	 7821303	 7177287	5932887	 5007262	 5901915	5835144	 6205716	 7541782	3501135	13983863	 6973171	 3238542	4276906	 5451895	 868992	1052491	1363654	1213605	 397985	1026508	 4728616	 988330	 573340	 927196	 770919	2055251	2345204	3352719	1379909	1561158	 1690949	 8730089	 582651	 960102	1171116	 174440	 1594199	 2446908	 164975	3080483	2938163	1098393	 6853345	5400954	 8647441	 9004760	11664072
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	 1460613	 336522	  143029	NA	 176347	  562281	  434618	 850690	   19572	 1548281	 219603	  356602	   33689	  165506	1744177	  427984	   3418	 496651	 391102	  54661	 109063	  23338	  116588	 385019	 225117	 297142	 538290	   7538	 444896	1393722	  31997	  28806	   17413	   95490	  38369	1068600	  24086	2322978	NA	   41568	 146988	 639982	 472947	1069848	  184642	1282504	 1308044	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	 1900063	1752491	10136583	 5739366	2693567	 5835815	 8850189	1149555	10809722	 3670000	3563713	13801896	13043434	14162237	 876180	 6668448	4545541	1431787	1380548	3706585	6999600	1436901	 4888155	2620141	1107221	4245828	 366237	 363654	2438974	3365696	4938573	2422677	 8821620	 4896092	3473944	2759570	4773053	2153473	13583366	 9084751	7723014	3380689	4371540	1218249	 5047912	1890153	 4979086	 2464661	 4749751
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	  330315	 353429	    9400	   38438	  82827	    8945	   33625	 179486	  404300	  184019	 110202	   38647	  125390	  209157	 133081	   56371	   8362	   6870	  42632	  23777	   3607	  83238	  157741	  58933	  47488	   7047	  42893	  56575	   6902	NA	   6613	  20184	     747	  431887	   2466	   3831	   3025	  30183	    7139	   27307	  28506	  18513	   6989	  55146	   85603	 134154	   53303	  117384	   45936
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	  184679	 149635	   82748	   42504	 170800	  143835	  125345	 211267	  175705	  367073	 157058	  327684	   93030	  548931	NA	  108887	  21232	 100927	  60081	  25576	  86252	  53113	   22599	  88991	  75908	  74552	 164508	  57992	  63101	NA	  93319	  34247	   97528	  495579	 198496	 119243	 144672	  31829	NA	   76593	  49509	 569112	  46926	  89537	  166198	 352584	  344285	  144496	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	   98193	  27854	   61847	  103964	   6292	   18915	   18850	 582120	  435733	   86892	  33441	    6168	   11354	   78055	   9847	   19457	  73019	  50865	 107604	   2382	  32582	    750	    9231	  28137	NA	  57999	 166001	   3619	  20071	   2507	  76322	 223669	NA	   18573	  47070	  40498	  74921	  13769	    8176	  124519	1023003	 376752	   1337	 366740	    4961	    981	   65852	    5934	   18899
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	  108650	   3232	  240543	NA	  30054	   80054	    4541	   5796	NA	  129066	NA	  743539	   97168	NA	  49976	    1530	NA	 380188	  22578	  27694	NA	NA	  158778	   3233	 118145	NA	 143495	NA	  87549	NA	    947	NA	  125897	   67373	   1979	  32600	NA	  29060	  104914	  143603	    352	   6586	NA	  50313	  642636	 156452	NA	  508449	    2990
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	   64638	  10929	   21968	   91810	   4852	    3821	     491	    597	    7591	   13146	   3268	    2857	    4103	     367	  22769	   90460	    178	NA	  15733	   5724	NA	    117	   89062	    833	    522	NA	NA	NA	  38950	  18092	   2061	NA	NA	    3158	NA	   2344	    124	    111	NA	NA	NA	NA	 148316	   2085	   14310	   1048	     236	NA	    7561
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	   30743	  57074	   20942	     425	NA	   20610	   82388	 470327	     293	    2370	  61602	NA	     304	NA	   7955	   15203	    831	NA	  11791	NA	   1310	    153	NA	 390901	NA	NA	   1151	NA	  72731	  58691	  37393	    634	  255855	NA	NA	  16021	   1193	   4277	    4235	    1174	  54529	 162496	  10804	NA	NA	NA	   85822	   44774	     507
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	   46310	  29146	   71332	   17090	  23617	   50002	   31513	  10519	  104326	  275698	  17790	  154707	   29045	  184344	  28796	   28162	   2309	NA	  36024	     58	    942	   7900	    6992	   6672	NA	   8786	  16385	  10050	   8249	NA	  18189	   7563	   69786	   80022	   5662	  10377	  12878	 672271	    8525	   13854	NA	  26681	  15828	  20440	   49783	  14403	   40505	   20346	   30603
